file,line,enclosing_function,access
modules\approach_phases.py,539,_get_aircraft_weight,self.system.approach_params
modules\approach_phases.py,683,_get_target_speed,self.system.approach_params
modules\approach_phases.py,702,_perform_active_flare,self.system.use_vjoy
modules\approach_phases.py,104,handle,self.system.takeover_initiated
modules\approach_phases.py,108,handle,self.system.takeover_initiated
modules\approach_phases.py,165,_check_autopilot_takeover,self.system.approach_config
modules\approach_phases.py,219,_check_autopilot_takeover,self.system.takeover_initiated
modules\approach_phases.py,268,handle,self.system.takeover_initiated
modules\approach_phases.py,335,_check_ils_takeover,self.system.approach_config
modules\approach_phases.py,354,_check_ils_takeover,self.system.takeover_initiated
modules\approach_phases.py,419,_log_approach_parameters,self.system.approach_config
modules\approach_phases.py,454,_control_aircraft,self.system.use_vjoy
modules\approach_phases.py,494,_control_throttle,self.system.use_autothrottle
modules\approach_phases.py,496,_control_throttle,self.system.approach_params
modules\approach_phases.py,59,handle,self.system.dme_navigation
modules\approach_phases.py,70,handle,self.system.control
modules\approach_phases.py,98,handle,self.system.dme_navigation
modules\approach_phases.py,113,handle,self.system.dme_navigation
modules\approach_phases.py,124,handle,self.system.autopilot_takeover
modules\approach_phases.py,162,_check_autopilot_takeover,self.system.navigation
modules\approach_phases.py,185,_check_autopilot_takeover,self.system._ils_info_logged
modules\approach_phases.py,187,_check_autopilot_takeover,self.system.autopilot_takeover
modules\approach_phases.py,228,_perform_takeover,self.system.autopilot_takeover
modules\approach_phases.py,230,_perform_takeover,self.system.aircraft_adapter
modules\approach_phases.py,231,_perform_takeover,self.system.control
modules\approach_phases.py,237,_perform_takeover,self.system.autopilot_takeover
modules\approach_phases.py,244,_perform_takeover,self.system.execute_go_around
modules\approach_phases.py,264,handle,self.system.takeover_initiated
modules\approach_phases.py,280,handle,self.system.use_vjoy
modules\approach_phases.py,283,handle,self.system.use_autothrottle
modules\approach_phases.py,303,handle,self.system.approach_config
modules\approach_phases.py,320,handle,self.system.autothrottle
modules\approach_phases.py,332,_check_ils_takeover,self.system.navigation
modules\approach_phases.py,340,_check_ils_takeover,self.system.autopilot_takeover
modules\approach_phases.py,359,_perform_takeover,self.system.autopilot_takeover
modules\approach_phases.py,361,_perform_takeover,self.system.aircraft_adapter
modules\approach_phases.py,362,_perform_takeover,self.system.control
modules\approach_phases.py,367,_perform_takeover,self.system.autopilot_takeover
modules\approach_phases.py,373,_perform_takeover,self.system.execute_go_around
modules\approach_phases.py,386,_check_weather_conditions,self.system.wind_shear_detector
modules\approach_phases.py,393,_check_weather_conditions,self.system.audio_alerts_enabled
modules\approach_phases.py,398,_check_weather_conditions,self.system.turbulence_detector
modules\approach_phases.py,408,_check_weather_conditions,self.system.execute_go_around
modules\approach_phases.py,416,_log_approach_parameters,self.system.navigation
modules\approach_phases.py,423,_log_approach_parameters,self.system.navigation
modules\approach_phases.py,427,_log_approach_parameters,self.system.navigation
modules\approach_phases.py,429,_log_approach_parameters,self.system.approach_config
modules\approach_phases.py,482,_control_aircraft,self.system.synthetic_glidepath
modules\approach_phases.py,494,_control_throttle,self.system.autothrottle
modules\approach_phases.py,540,_get_aircraft_weight,self.system.approach_params
modules\approach_phases.py,543,_get_aircraft_weight,self.system.approach_config
modules\approach_phases.py,561,_check_stabilization,self.system.stabilized_monitor
